Season,Crop,Variety,Month,Week 1,Week 2,Week 3,Week 4,Week 1 (KN),Week 2 (KN),Week 3 (KN),Week 4 (KN)
Summer,Groundnut,DH 3-30,February,🌦️ Check Weather | Ready land and give lime to soil,Green Manuring | Soil test & compost | 🧪 Apply 4 kg/Acre Borax (for pod filling) | 🧪 Spray early morning/evening only,Make soft bed for seeds,"📅 Book Tractor & Labor | 🌱🧪💧 Sow (10""x4"") + Apply 125 kg/Acre Gypsum powder (for pod health) (half of 250kg/Acre total) + give small water + Apply 25 kg N First Dose and full dose of P & K at sowing | 🧪 Treat with PSB & Azospirillum",🌦️ ಹವಾಮಾನವನ್ನು ಪರಿಶೀಲಿಸಿ | ಭೂಮಿಯನ್ನು ಸಿದ್ಧಪಡಿಸಿ ಮತ್ತು ಮಣ್ಣಿಗೆ ಸುಣ್ಣ ಅಥವಾ ಡೋಲೊಮೈಟ್ ಹಾಕಿ,ಹಸಿರು ಗೊಬ್ಬರ ಬಳಕೆ | Soil test & compost | 🧪 ಎಕರೆಗೆ 4 ಕೆಜಿ ಬೊರಾಕ್ಸ್ ಹಾಕಿ (ಕಾಯಿ ತುಂಬುವಿಕೆಗಾಗಿ) | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,ಬೀಜ ಬಿತ್ತಲು ಮಣ್ಣನ್ನು ಹದ ಮಾಡಿ,📅 ಟ್ರಾಕ್ಟರ್ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | 🌱🧪💧 10x4 ಇಂಚು ಅಂತರದಲ್ಲಿ ಬಿತ್ತನೆ ಮಾಡಿ + ಎಕರೆಗೆ 125 ಕೆಜಿ ಜಿಪ್ಸಮ್ ಪುಡಿಯನ್ನು ಹಾಕಿ (ಕಾಯಿಗಳ ಆರೋಗ್ಯಕ್ಕಾಗಿ) ((ಒಟ್ಟು 250 ಕೆಜಿ ಜಿಪ್ಸಮ್‌ನಲ್ಲಿ ಅರ್ಧದಷ್ಟು)) + give small water + ಬಿತ್ತನೆ ಸಮಯದಲ್ಲಿ 25 ಕೆಜಿ ಯೂರಿಯಾ ಮತ್ತು ಪೂರ್ಣ ಪ್ರಮಾಣದ ಡಿಎಪಿ/ಪೊಟ್ಯಾಶ್ ಹಾಕಿ | 🧪 ಪಿಎಸ್ಬಿ ಮತ್ತು ಅಜೋಸ್ಪೈರಿಲಮ್ ಜೈವಿಕ ಗೊಬ್ಬರದೊಂದಿಗೆ ಬೀಜೋಪಚಾರ ಮಾಡಿ
Summer,Groundnut,DH 3-30,March,🌱💧 Water when plants start to grow,Remove weeds first time,Monitor moisture,🧪 125 kg/Acre Gypsum powder (for pod health) (half of 250kg/Acre total) (30 DAS) | 🧪 Spray early morning/evening only,🌱💧 ಗಿಡಗಳು ಬೆಳೆಯಲು ಪ್ರಾರಂಭಿಸಿದಾಗ ನೀರು ಕೊಡಿ,ಮೊದಲ ಬಾರಿ ಕಳೆ ತೆಗೆಯಿರಿ,ತೇವಾಂಶವನ್ನು ಗಮನಿಸಿ,🧪 125 kg/Acre Gypsum powder (ಕಾಯಿಗಳ ಆರೋಗ್ಯಕ್ಕಾಗಿ) ((ಒಟ್ಟು 250 ಕೆಜಿ ಜಿಪ್ಸಮ್‌ನಲ್ಲಿ ಅರ್ಧದಷ್ಟು)) (ಬಿತ್ತನೆ ಮಾಡಿದ 30 ದಿನಗಳ ನಂತರ) | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ
Summer,Groundnut,DH 3-30,April,🔎 Pest / disease scouting,Pull out weeds again,Irrigation if required,🧪 Flowering / pegging period | Apply 10 kg Urea for Growth to maximize pod yield | 💧⚠️ DO NOT allow soil to dry now - critical for pod formation | 🧪 Spray early morning/evening only,🔎 Pest / disease scouting,ಕಳೆಗಳನ್ನು ಕಿತ್ತೆಸೆಯಿರಿ again,Irrigation if required,🧪 ಹೂವಾಡುವ ಮತ್ತು ಕಾಯಿ ಕಟ್ಟುವ ಹಂತ | ಗಿಡದ ಬೆಳವಣಿಗೆಗಾಗಿ 10 ಕೆಜಿ ಯೂರಿಯಾ ಹಾಕಿ to maximize pod yield | 💧⚠️ ಈ ಸಮಯದಲ್ಲಿ ಮಣ್ಣು ಒಣಗಲು ಬಿಡಬೇಡಿ - critical for pod formation | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ
Summer,Groundnut,DH 3-30,May,See if pods are growing well,🧪 Spray Tebuconazole 2DS or Mancozeb for leaf spots | 🧪 Spray early morning/evening only,📅 Book Thresher & Labor | ✂️💧🔎 Inspect field before cutting | Drain water before harvest,"📅 Book Thresher & Labor | ✂️ Start cutting (hand/machine) | Drying, pod separation, yield check, remove waste",See if pods are growing well,🧪 ಎಲೆಚುಕ್ಕೆ ರೋಗಕ್ಕೆ ಟೆಬುಕೊನಜೋಲ್ ಅಥವಾ ಮ್ಯಾಂಕೋಜೋಬ್ ಸಿಂಪಡಿಸಿ | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️💧🔎 ಕೊಯ್ಲಿಗೆ ಮೊದಲು ಜಮೀನನ್ನು ಪರೀಕ್ಷಿಸಿ | ಕೊಯ್ಲಿಗೆ ಮೊದಲು ನೀರನ್ನು ಹೊರಹಾಕಿ,"📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️ Start cutting (hand/machine) | Drying, pod separation, yield check, remove waste"
Summer,Groundnut,DH 3-30,June,Field resting,Field resting,Field resting,Field resting,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ
Summer,Vegetables,Cucumber,February,🌦️🌱 Check Weather | Clean and level the land for planting,"🌱🧪 Apply Fertilizer kg/ha (50% Nitrogen First Dose, full P&K) | 🧪 Spray early morning/evening only",🌱 Mark planting rows / Prepare irrigation,🌱 Start sowing seeds in nursery trays | Field layout: 1.5 m between channels and 0.6 m between hills,🌦️🌱 ಹವಾಮಾನವನ್ನು ಪರಿಶೀಲಿಸಿ | ನಾಟಿಗಾಗಿ ಜಮೀನನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸಿ ಮತ್ತು ಸಮತಟ್ಟು ಮಾಡಿ,🌱🧪 ಬಿತ್ತನೆ ಸಮಯದಲ್ಲಿ ಶೇ. 50 ಯೂರಿಯಾ ಮತ್ತು ಪೂರ್ಣ ಡಿಎಪಿ/ಪೊಟ್ಯಾಶ್ ಹಾಕಿ | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,🌱 ಸಾಲುಗಳನ್ನು ಗುರುತಿಸಿ ಮತ್ತು ನೀರಾವರಿ ಸಿದ್ಧತೆ ಮಾಡಿ,🌱 Start sowing seeds in nursery trays | ವಿನ್ಯಾಸ: ಕಾಲುವೆಗಳ ನಡುವೆ 1.5 ಮೀಟರ್ ಮತ್ತು ಗುಂಡಿಗಳ ನಡುವೆ 0.6 ಮೀಟರ್ ಅಂತರವಿರಲಿ
Summer,Vegetables,Cucumber,March,📅 Book Tractor & Labor | 🌱 Transplant seedlings to field (if nursery),🌱💧 Give water first time after sowing,🧪 Weed removal | Apply 25% Urea for Growth | 🧪 Spray early morning/evening only,🧪 Don’t let soil dry up | Apply 25% Urea for Growth (30 DAS) | 🧪 Spray early morning/evening only,📅 ಟ್ರಾಕ್ಟರ್ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | 🌱 Transplant seedlings to field (if nursery),🌱💧 Give water first time after sowing,🧪 Weed removal | ಗಿಡದ ಬೆಳವಣಿಗೆಗಾಗಿ ಶೇ. 25 ರಷ್ಟು ಯೂರಿಯಾ ಹಾಕಿ | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,🧪 Don’t let soil dry up | ಗಿಡದ ಬೆಳವಣಿಗೆಗಾಗಿ ಶೇ. 25 ರಷ್ಟು ಯೂರಿಯಾ ಹಾಕಿ (ಬಿತ್ತನೆ ಮಾಡಿದ 30 ದಿನಗಳ ನಂತರ) | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ
Summer,Vegetables,Cucumber,April,🌱🧪 Apply final 25% Urea for Growth (45 DAS) | Monitor plant health | 🧪 Spray early morning/evening only,🔎 Scout: Fruit Fly (Monitor with Pheromone/Fish meal traps) (Cue-lure / Fish meal traps) (Monitor with pheromone traps),Continue irrigation,Remove weeds again,🌱🧪 45 ನೇ ದಿನದಲ್ಲಿ ಉಳಿದ ಶೇ. 25 ರಷ್ಟು ಯೂರಿಯಾ ಹಾಕಿ | ಗಿಡದ ಆರೋಗ್ಯವನ್ನು ಗಮನಿಸಿ | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,🔎 ಪರಿಶೀಲಿಸಿ: ಹಣ್ಣಿನ ನೊಣ (Monitor with ಫೆರೋಮೋನ್ ಅಥವಾ ಮೀನಿನ ಪುಡಿ ಬಲೆಗಳನ್ನು ಬಳಸಿ) (Cue-lure / Fish meal traps) (Monitor with pheromone traps),Continue irrigation,Remove weeds again
Summer,Vegetables,Cucumber,May,2% neem oil + garlic emulsion for sucking pests,Irrigation (weather dependent),Check crop often,🧪 Use spray to stop disease | 🧪 Spray early morning/evening only,ಹೀರುವ ಕೀಟಗಳಿಗಾಗಿ ಶೇ. 2 ರಷ್ಟು ಬೇವಿನ ಎಣ್ಣೆ ಮತ್ತು ಬೆಳ್ಳುಳ್ಳಿ ಕಷಾಯ ಬಳಸಿ,Irrigation (weather dependent),Check crop often,🧪 Use spray to stop disease | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ
Summer,Vegetables,Cucumber,June,📅 Book Thresher & Labor | ✂️ Harvesting starts,📅 Book Thresher & Labor | ✂️ Keep harvest safe and dry,Measure crop yield,Field cleanup,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️ Harvesting starts,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️ Keep harvest safe and dry,Measure crop yield,Field cleanup
Summer,Vegetables,Watermelon,February,🌦️🌱 Check Weather | Clean and level the land for planting,🌱🧪 Apply Apply 50% Nitrogen and full Phosphorus/Potassium as First Dose (Fertilizer ) | 🧪 Spray early morning/evening only,🌱 Mark planting rows / Prepare irrigation,📅 Book Tractor & Labor | 🌱 Sow seeds at 250x60 cm spacing,🌦️🌱 ಹವಾಮಾನವನ್ನು ಪರಿಶೀಲಿಸಿ | ನಾಟಿಗಾಗಿ ಜಮೀನನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸಿ ಮತ್ತು ಸಮತಟ್ಟು ಮಾಡಿ,🌱🧪 Apply ಬಿತ್ತನೆ ಸಮಯದಲ್ಲಿ ಶೇ. 50 ಯೂರಿಯಾ ಮತ್ತು ಪೂರ್ಣ ಡಿಎಪಿ/ಪೊಟ್ಯಾಶ್ ಹಾಕಿ (Fertilizer ) | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,🌱 ಸಾಲುಗಳನ್ನು ಗುರುತಿಸಿ ಮತ್ತು ನೀರಾವರಿ ಸಿದ್ಧತೆ ಮಾಡಿ,📅 ಟ್ರಾಕ್ಟರ್ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | 🌱 Sow seeds at 250x60 cm ಅಂತರ
Summer,Vegetables,Watermelon,March,📅 Book Tractor & Labor | 🌱 Transplant seedlings to field (if nursery),🌱💧 Give water first time after sowing,Weed removal,Don’t let soil dry up,📅 ಟ್ರಾಕ್ಟರ್ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | 🌱 Transplant seedlings to field (if nursery),🌱💧 Give water first time after sowing,Weed removal,Don’t let soil dry up
Summer,Vegetables,Watermelon,April,🧪 Apply remaining 50% Urea for Growth | 🧪 Spray early morning/evening only,🔎 Scout: Fruit Fly (Monitor with Pheromone/Fish meal traps) (Cue-lure / Fish meal traps) (Monitor with pheromone traps),2% neem oil + garlic emulsion for sucking pests,📅 Book Thresher & Labor | ✂️ Check for withering of the tendril at the fruit axil and a dull sound when thumping the fruit to judge harvest readiness,🧪 Apply remaining 50% Urea for Growth | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,🔎 ಪರಿಶೀಲಿಸಿ: ಹಣ್ಣಿನ ನೊಣ (Monitor with ಫೆರೋಮೋನ್ ಅಥವಾ ಮೀನಿನ ಪುಡಿ ಬಲೆಗಳನ್ನು ಬಳಸಿ) (Cue-lure / Fish meal traps) (Monitor with pheromone traps),ಹೀರುವ ಕೀಟಗಳಿಗಾಗಿ ಶೇ. 2 ರಷ್ಟು ಬೇವಿನ ಎಣ್ಣೆ ಮತ್ತು ಬೆಳ್ಳುಳ್ಳಿ ಕಷಾಯ ಬಳಸಿ,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️ Check for withering of the tendril at the fruit axil and a ಹಣ್ಣನ್ನು ತಟ್ಟಿದಾಗ ಮಂದವಾದ ಶಬ್ದ ಬಂದರೆ ಕೊಯ್ಲಿಗೆ ಸಿದ್ಧ to ಕೊಯ್ಲಿಗೆ ಸಿದ್ಧತೆಯನ್ನು ಪರೀಕ್ಷಿಸಿ
Summer,Vegetables,Watermelon,May,📅 Book Thresher & Labor | ✂️ Harvest when fruit gives a 'dull' sound when tapped and tendril dries,📅 Book Thresher & Labor | ✂️ Keep harvest safe and dry | Measure crop yield | Field cleanup,Field resting,Field resting,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️ Harvest when fruit gives a 'dull' sound when tapped and tendril dries,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️ Keep harvest safe and dry | Measure crop yield | Field cleanup,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ
Summer,Vegetables,Watermelon,June,Field resting,Field resting,Field resting,Field resting,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ
Rabi,Green gram,Pusa Vishal,October,🌦️ Check Weather | Prepare seedbed.,🧪 Treat seeds with PSB & Azospirillum and inoculate with Rhizobium. | 🧪 Spray early morning/evening only,"📅 Book Tractor & Labor | 🌱 Sow at Sow seeds 12 inches apart in rows, with 4 inches between seeds spacing.",💧 Irrigate lightly.,🌦️ ಹವಾಮಾನವನ್ನು ಪರಿಶೀಲಿಸಿ | ಬಿತ್ತನೆ ಮಡಿ ಸಿದ್ಧಪಡಿಸಿ.,🧪 Treat seeds with PSB & Azospirillum and inoculate with Rhizobium. | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,📅 ಟ್ರಾಕ್ಟರ್ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | 🌱 Sow at ಸಾಲುಗಳ ನಡುವೆ 12 ಇಂಚು ಮತ್ತು ಬೀಜಗಳ ನಡುವೆ 4 ಇಂಚು ಅಂತರವಿರಲಿ ಅಂತರ.,💧 ಹಗುರವಾಗಿ ನೀರು ಕೊಡಿ.
Rabi,Green gram,Pusa Vishal,November,🌱 Weed at 20-25 days after sowing.,Growth Dose small nitrogen dose if needed.,Check for yellow mosaic and thrips.,🧪 Spray 1% Urea (30 DAS) | 🧪 Spray early morning/evening only,🌱 ಬಿತ್ತನೆ ಮಾಡಿದ 20-25 ದಿನಗಳ ನಂತರ ಕಳೆ ತೆಗೆಯಿರಿ.,Growth Dose small nitrogen dose if needed.,Check for ಹಳದಿ ಎಲೆ ರೋಗ ಮತ್ತು ನುಸಿ ಕೀಟ.,🧪 ಶೇ. 1 ರಷ್ಟು ಯೂರಿಯಾ ದ್ರಾವಣವನ್ನು ಸಿಂಪಡಿಸಿ (ಬಿತ್ತನೆ ಮಾಡಿದ 30 ದಿನಗಳ ನಂತರ) | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ
Rabi,Green gram,Pusa Vishal,December,Monitor for leaf spot,📅 Book Thresher & Labor | ✂️ Prepare for harvest,Check pod maturity,📅 Book Thresher & Labor | ✂️ Harvest when 80% pods mature,Monitor for leaf spot,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️ Prepare for harvest,Check pod maturity,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️ ಶೇ. 80 ರಷ್ಟು ಕಾಯಿಗಳು ಮಾಗಿದಾಗ ಕೊಯ್ಲು ಮಾಡಿ
Rabi,Green gram,Pusa Vishal,January,"🌱 Dry plants on tarpaulin | Thresh | Store with Azadirachtin (10,000 ppm @ 7.5 ml/kg)",Field resting,Field resting,Field resting,"🌱 ಗಿಡಗಳನ್ನು ಟಾರ್ಪಾಲಿನ್ ಮೇಲೆ ಒಣಗಿಸಿ | Thresh | ಅಜಾಡಿರಾಕ್ಟಿನ್‌ನೊಂದಿಗೆ ಸಂಗ್ರಹಿಸಿ (10,000 ppm @ 7.5 ml/kg)",ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ
Rabi,Green gram,Pusa Vishal,February,Field resting,Field resting,Field resting,Field resting,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ
Rabi,Green gram,Pusa Vishal,March,Field resting,Field resting,Field resting,Field resting,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ
Rabi,Sesame,DS-1,October,🌦️ Check Weather | Prepare firm seedbed.,"📅 Book Tractor & Labor | 🌱🧪 🧪 Treat seeds with PSB & Azospirillum and sow at Sow seeds 12 inches apart in rows, with 4 inches between seeds spacing. | Apply 50% Nitrogen and full P & K as First Dose | 🧪 Treat with PSB & Azospirillum",🌱💧 Irrigate lightly after sowing.,Thin seedlings to one per hill.,🌦️ ಹವಾಮಾನವನ್ನು ಪರಿಶೀಲಿಸಿ | Prepare firm seedbed.,📅 ಟ್ರಾಕ್ಟರ್ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | 🌱🧪 🧪 Treat seeds with PSB & Azospirillum and sow at ಸಾಲುಗಳ ನಡುವೆ 12 ಇಂಚು ಮತ್ತು ಬೀಜಗಳ ನಡುವೆ 4 ಇಂಚು ಅಂತರವಿರಲಿ ಅಂತರ. | Apply 50% Nitrogen and full P & K as First Dose | 🧪 ಪಿಎಸ್ಬಿ ಮತ್ತು ಅಜೋಸ್ಪೈರಿಲಮ್ ಜೈವಿಕ ಗೊಬ್ಬರದೊಂದಿಗೆ ಬೀಜೋಪಚಾರ ಮಾಡಿ,🌱💧 ಹಗುರವಾಗಿ ನೀರು ಕೊಡಿ after sowing.,ಪ್ರತಿ ಗುಂಡಿಯಲ್ಲಿ ಒಂದು ಸಸಿ ಮಾತ್ರ ಇರುವಂತೆ ಮಾಡಿ.
Rabi,Sesame,DS-1,November,🌱 Weed at 20-25 days after sowing.,🌱 Growth Dose 50% N (3 weeks after sowing).,Check for leaf spot and phyllody.,🧪 Spray if needed. | 🧪 Spray early morning/evening only,🌱 ಬಿತ್ತನೆ ಮಾಡಿದ 20-25 ದಿನಗಳ ನಂತರ ಕಳೆ ತೆಗೆಯಿರಿ.,🌱 Growth Dose 50% N (3 weeks after sowing).,Check for leaf spot and phyllody.,🧪 Spray if needed. | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ
Rabi,Sesame,DS-1,December,💧 Irrigate at flowering.,Remove weeds.,🧪 Spray for capsule borer if needed. | 🧪 Spray early morning/evening only,📅 Book Thresher & Labor | ✂️ Plan harvest.,💧 Irrigate at flowering.,Remove weeds.,🧪 Spray for capsule borer if needed. | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️ Plan harvest.
Rabi,Sesame,DS-1,January,Monitor capsule Fully ripe stage | Check root health,Observe leaf yellowing for maturation signals,🔎 Scout for capsule borer | Prepare threshing floor,📅 Book Thresher & Labor | ✂️ Plan for harvest in Feb Week 1 | Stop irrigation,Monitor capsule Fully ripe stage | Check root health,Observe ಬೆಳೆ ಮಾಗುವ ಸೂಚನೆಯಾಗಿ ಎಲೆಗಳು ಹಳದಿ ಬಣ್ಣಕ್ಕೆ ತಿರುಗುವುದನ್ನು ಗಮನಿಸಿ,🔎 Scout for capsule borer | Prepare threshing floor,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️ Plan for harvest in Feb Week 1 | Stop irrigation
Rabi,Sesame,DS-1,February,📅 Book Thresher & Labor | ✂️ Harvest when capsules yellow and split.,Dry bundles upright for a week.,Thresh on tarpaulin.,Maintain exactly 5% moisture using 700-gauge poly bags to prevent oil degradation,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️ Harvest when capsules yellow and split.,Dry bundles upright for a week.,Thresh on tarpaulin.,ತೈಲದ ಅಂಶ ಕೆಡದಂತೆ ನಿಖರವಾಗಿ ಶೇ. 5 ರಷ್ಟು ತೇವಾಂಶ ಕಾಪಾಡಿಕೊಳ್ಳಿ using 700-ಗೇಜ್ ಪಾಲಿ ಬ್ಯಾಗ್ ಬಳಸಿ to prevent oil degradation
Rabi,Sesame,DS-1,March,🌦️ Check Weather | Clear crop residues.,Prepare land for next crop.,Check stored seed moisture.,Fumigate store if needed.,🌦️ ಹವಾಮಾನವನ್ನು ಪರಿಶೀಲಿಸಿ | ಬೆಳೆಯ ಕಸಕಡ್ಡಿಗಳನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸಿ.,Prepare land for next crop.,Check stored seed moisture.,Fumigate store if needed.
Kharif,Paddy,MO-4 (Bhadra),June,📅 Book Tractor & Labor | 🌦️ Check Weather | 🚜 Land prep & puddling | 🧪 Apply 200kg/Acre Lime/Dolomite | 🌊 Ensure proper drainage,🌱 Green Manuring | Get small plants ready in trays or bed | 🌊 Ensure proper drainage,Soil testing & compost application,🌱💧 Care for Seedlings | 🌊 Ensure proper drainage,📅 ಟ್ರಾಕ್ಟರ್ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | 🌦️ ಹವಾಮಾನವನ್ನು ಪರಿಶೀಲಿಸಿ | 🚜 ಭೂಮಿ ಸಿದ್ಧತೆ ಮತ್ತು ಹದಗೊಳಿಸುವಿಕೆ | 🧪 ಎಕರೆಗೆ 200 ಕೆಜಿ ಸುಣ್ಣ ಅಥವಾ ಡೋಲೊಮೈಟ್ ಹಾಕಿ | 🌊 ನೀರನ್ನು ಹೊರಹೋಗಲು ಸರಿಯಾದ ವ್ಯವಸ್ಥೆ ಮಾಡಿ,🌱 ಹಸಿರು ಗೊಬ್ಬರ ಬಳಕೆ | ಸಣ್ಣ ಸಸಿಗಳನ್ನು ಸಿದ್ಧಪಡಿಸಿಕೊಳ್ಳಿ (ಟ್ರೇ ಅಥವಾ ಮಡಿಗಳಲ್ಲಿ) | 🌊 ನೀರನ್ನು ಹೊರಹೋಗಲು ಸರಿಯಾದ ವ್ಯವಸ್ಥೆ ಮಾಡಿ,ಮಣ್ಣಿನ ಪರೀಕ್ಷೆ ಮತ್ತು ಕೊಟ್ಟಿಗೆ ಗೊಬ್ಬರ ಬಳಕೆ,🌱💧 ಸಸಿಗಳ ಆರೈಕೆ ಮಾಡಿ | 🌊 ನೀರನ್ನು ಹೊರಹೋಗಲು ಸರಿಯಾದ ವ್ಯವಸ್ಥೆ ಮಾಡಿ
